Line 1 getShape : 38 20
Line 2 columns : 1x0 1x1 1x2 1x3 1x4 1x5 1x6 1x7 1x8 1x9 1x10 1x11 1x12 1x13 1x14 1x15 1x16 1x17 1x18 1x19
Line 3 printHead 100 100
1x0 1x1 1x2 1x3 1x4 1x5 1x6 1x7 1x8 1x9 1x10 1x11 1x12 1x13 1x14 1x15 1x16 1x17 1x18 1x19
96 22 96 74 86 46 65 13 98 84 24 99 99 3 70 15 8 48 29 0
32 88 58 28 99 70 0 15 69 31 5 22 36 55 28 21 14 43 6 95
12 29 78 22 67 84 55 89 17 27 93 41 25 6 27 77 27 24 83 42
48 28 79 77 59 7 88 82 33 64 92 82 84 4 49 45 44 94 63 10
83 53 98 48 91 59 31 44 65 2 29 42 40 94 63 28 3 96 85 30
45 45 9 28 65 51 8 7 66 2 44 20 70 57 1 35 96 47 39 35
72 1 61 54 27 78 17 5 37 44 14 68 51 12 41 45 64 39 58 99
41 88 13 64 17 37 99 39 20 92 91 36 0 94 11 11 85 82 99 40
14 42 10 24 84 43 61 59 31 9 25 87 94 11 38 63 30 16 83 41
6 82 35 50 71 22 34 70 51 37 20 11 63 64 76 96 44 42 66 23
79 72 44 14 46 36 4 20 2 26 82 78 71 54 11 36 28 44 29 52
27 91 80 3 33 49 43 58 98 23 93 38 78 17 57 29 14 83 91 15
27 84 96 46 38 0 99 80 32 48 55 12 40 11 84 10 74 49 17 59
36 19 54 6 64 33 0 88 10 12 10 19 30 98 80 99 68 20 91 93
19 63 10 47 71 48 62 50 41 22 5 65 62 19 75 53 78 37 56 13
58 55 80 37 50 20 71 98 89 45 36 2 15 71 42 58 36 26 89 42
51 16 49 73 77 0 72 79 44 52 21 98 4 93 18 1 24 79 53 31
41 28 49 34 19 82 49 8 17 6 10 46 51 14 82 24 75 35 40 84
86 92 39 88 41 89 5 56 5 88 47 11 72 41 11 75 9 58 50 15
85 80 68 60 22 22 7 75 39 42 85 11 21 46 46 91 31 49 23 7
28 54 60 0 96 0 75 73 75 58 83 24 62 88 56 8 6 84 59 72
96 51 0 83 28 97 63 7 54 76 3 46 97 20 95 77 35 93 84 71
98 95 53 57 30 22 57 68 86 47 96 19 88 92 72 85 49 96 91 76
5 57 7 40 4 65 86 72 58 59 74 64 38 51 75 79 88 5 66 81
1 18 7 10 60 21 14 31 19 39 42 74 18 20 54 39 49 65 64 50
41 56 69 10 53 5 93 96 75 95 35 46 89 27 13 18 24 26 11 37
9 2 62 53 4 19 57 67 24 98 43 37 60 25 94 87 48 84 39 70
27 1 89 83 91 75 67 96 65 36 67 23 15 46 41 60 66 72 46 97
39 68 91 92 26 16 45 83 23 8 5 12 46 43 90 37 82 15 91 33
12 99 80 15 90 44 74 63 39 32 17 2 88 15 21 46 33 12 88 95
50 99 86 24 75 55 61 98 6 46 96 1 80 27 48 38 74 31 78 93
46 83 99 71 96 3 54 23 35 72 93 82 33 88 26 16 47 86 45 67
90 78 96 50 44 76 3 16 45 48 9 58 91 39 24 21 32 17 74 46
69 57 64 22 7 41 62 8 87 67 42 96 30 56 54 26 43 12 85 28
18 58 88 60 23 86 21 10 36 23 41 92 94 7 5 60 78 92 21 29
20 93 25 5 47 62 69 86 24 41 25 39 51 93 38 97 37 37 62 60
