Line 3 drop 1 22 1x1 : true
Line 4 drop 0 27 1x1 : true
Line 5 drop 0 3 1x1 : true
Line 6 drop 1 20 1x1 : false
Line 7 drop 1 10 1x1 : false
Line 8 drop 1 15 1x1 : false
Line 9 drop -2 7 1x1 : false
Line 10 drop 1 23 1x1 : false
Line 11 drop 1 24 1x1 : false
Line 12 getShape : 26 2
Line 13 columns : label 1x2
Line 14 printHead 100 100
label 1x2
1 6
3 52
2 81
5 93
3 82
7 21
5 85
4 70
2 65
0 14
1 15
4 47
1 53
2 63
1 70
9 65
4 69
5 37
5 81
0 50
4 45
2 56
2 77
2 57
5 69
1 83
Line y_predict : 
label
1
Accuracy: -1
