Line 3 drop 1 21 1x1 : true
Line 4 drop 0 40 1x1 : true
Line 5 drop 1 38 1x1 : false
Line 6 drop 0 44 1x1 : false
Line 7 drop 0 20 1x1 : true
Line 8 drop 1 40 1x1 : false
Line 9 drop 0 2 1x1 : true
Line 10 drop 0 31 1x1 : true
Line 11 getShape : 39 2
Line 12 columns : label 1x2
Line 13 printHead 100 100
label 1x2
8 51
0 12
9 33
0 90
1 89
7 97
9 73
5 80
4 95
1 17
9 97
3 4
1 28
2 25
0 1
1 94
4 80
4 7
3 92
0 18
3 27
3 40
4 34
7 46
0 66
9 87
8 38
6 37
8 1
9 44
8 9
4 46
3 50
2 56
2 74
3 34
4 91
7 25
1 8
Line y_predict : 
label
8
Accuracy: -1
