Line 3 drop 0 33 1x1 : true
Line 4 drop 1 20 1x1 : true
Line 5 drop -2 39 1x1 : false
Line 6 drop 0 48 1x1 : false
Line 7 drop 0 10 1x1 : true
Line 8 drop 0 27 1x1 : true
Line 9 drop 1 2 1x1 : false
Line 10 drop 1 35 1x1 : false
Line 11 getShape : 44 2
Line 12 columns : label 1x2
Line 13 printHead 100 100
label 1x2
7 57
2 44
2 45
9 19
3 87
9 46
1 84
8 14
6 24
4 51
2 42
0 45
5 30
5 20
1 93
5 74
3 36
8 85
3 49
7 15
9 91
9 95
5 74
5 30
1 17
3 47
8 85
8 76
0 67
7 34
8 69
6 55
8 71
6 94
5 53
6 67
1 37
1 99
0 99
9 15
8 10
5 51
9 62
7 82
Line y_predict : 
label
7
Accuracy: -1
