Line 3 drop -1 2 1x1 : false
Line 4 drop 1 11 1x1 : true
Line 5 drop -1 7 1x1 : false
Line 6 drop 0 12 1x1 : true
Line 7 drop 1 5 1x1 : false
Line 8 drop -1 23 1x1 : false
Line 9 drop 0 2 1x1 : true
Line 10 drop 0 28 1x1 : true
Line 11 drop 0 25 1x1 : true
Line 12 getShape : 33 2
Line 13 columns : label 1x2
Line 14 printHead 100 100
label 1x2
1 61
8 55
4 42
9 88
4 83
8 72
4 56
3 27
5 25
6 24
2 56
2 50
3 80
7 35
8 77
7 8
8 64
3 65
1 18
7 9
1 46
5 61
4 46
2 50
0 17
5 52
1 22
2 11
1 88
1 81
7 53
2 92
4 33
Line y_predict : 
label
1
Accuracy: -1
