Line 3 drop 0 82 1x1 : true
Line 4 drop 1 31 1x1 : true
Line 5 drop 1 0 1x1 : false
Line 6 drop -2 14 1x1 : false
Line 7 drop 0 91 1x1 : false
Line 8 drop -2 78 1x1 : false
Line 9 drop 1 76 1x1 : false
Line 10 drop 1 20 1x1 : false
Line 11 drop 1 49 1x1 : false
Line 12 drop 1 6 1x1 : false
Line 13 drop 1 64 1x1 : false
Line 14 drop 1 66 1x1 : false
Line 15 drop 0 74 1x1 : true
Line 16 drop 0 73 1x1 : true
Line 17 drop -1 24 1x1 : false
Line 18 drop 0 73 1x1 : true
Line 19 drop 1 89 1x1 : false
Line 20 getShape : 87 2
Line 21 columns : label 1x2
Line 22 printHead 100 100
label 1x2
5 27
6 34
1 83
9 35
6 7
8 24
0 83
6 23
4 65
0 80
8 44
5 57
9 37
3 26
5 92
9 74
7 28
5 47
3 51
6 28
6 63
7 97
9 9
4 15
6 88
8 79
7 72
2 97
4 58
7 48
7 80
4 98
1 14
9 27
6 9
8 94
3 66
7 25
2 19
2 79
5 9
7 27
0 43
5 52
7 47
4 90
7 45
4 85
6 39
5 70
5 25
8 80
5 64
8 50
1 77
0 51
5 59
4 41
1 62
5 39
5 78
1 30
4 7
3 76
5 50
7 76
7 12
4 74
2 11
3 58
4 36
4 47
3 86
6 70
3 36
2 68
1 66
2 90
5 73
6 16
1 87
0 75
5 33
8 99
1 86
5 19
0 76
Line y_predict : 
label
5
Accuracy: -1
