Line 3 drop 1 27 1x1 : true
Line 4 drop 1 7 1x1 : false
Line 5 drop -2 6 1x1 : false
Line 6 drop -1 47 1x1 : false
Line 7 drop -1 14 1x1 : false
Line 8 getShape : 66 2
Line 9 columns : label 1x2
Line 10 printHead 100 100
label 1x2
1 16
2 15
2 29
7 22
1 22
8 98
4 99
7 61
5 84
4 1
1 78
9 88
2 83
8 8
6 8
4 16
7 38
9 20
8 18
4 57
6 35
9 76
8 28
5 86
8 95
6 1
3 73
8 68
0 50
8 16
3 10
6 1
0 94
4 87
7 92
1 43
2 24
2 56
4 65
1 99
9 27
2 24
4 88
8 5
7 48
6 73
6 31
4 75
5 66
8 53
5 10
7 74
0 87
2 91
0 14
8 35
7 6
1 7
0 93
8 94
9 52
0 47
3 29
7 97
7 32
2 2
Line y_predict : 
label
1
Accuracy: -1
