Line 3 drop 0 6 1x1 : true
Line 4 drop 0 52 1x1 : false
Line 5 drop 1 0 1x1 : true
Line 6 drop 1 26 1x1 : false
Line 7 drop 1 42 1x1 : false
Line 8 drop 1 48 1x1 : false
Line 9 drop 1 35 1x1 : false
Line 10 getShape : 50 2
Line 11 columns : label 1x2
Line 12 printHead 100 100
label 1x2
6 13
9 6
9 57
9 6
3 21
8 72
4 12
3 69
9 31
4 86
2 46
1 61
8 79
2 74
0 66
0 90
1 37
3 32
3 66
7 63
5 52
6 40
3 41
2 81
7 7
4 1
0 4
7 1
0 55
3 1
6 27
0 24
3 29
9 92
9 94
3 8
3 99
1 53
6 27
9 36
8 6
7 13
2 9
6 18
3 75
6 31
5 54
7 27
8 95
6 11
Line y_predict : 
label
6
Accuracy: -1
