Line 3 drop 1 39 1x1 : true
Line 4 drop 0 40 1x1 : true
Line 5 drop -1 81 1x1 : false
Line 6 getShape : 90 2
Line 7 columns : label 1x2
Line 8 printHead 100 100
label 1x2
6 22
7 36
0 60
4 6
4 26
8 76
9 14
8 19
3 38
4 7
7 40
2 13
9 48
3 27
2 68
1 52
7 74
4 76
3 17
4 50
4 31
2 8
7 78
4 93
5 72
6 3
1 41
7 2
2 94
2 89
0 71
6 91
0 20
1 59
6 27
6 69
8 58
3 59
8 51
2 4
3 73
3 93
9 39
5 59
0 55
8 59
2 96
9 36
9 21
9 31
9 71
1 74
2 51
8 22
4 65
3 59
8 54
6 86
2 54
1 88
7 28
5 89
1 72
7 57
8 10
1 42
7 76
6 68
4 70
9 54
1 50
1 84
1 14
7 26
8 27
8 21
3 82
2 26
2 61
5 83
9 86
2 18
9 51
1 79
5 4
7 88
8 99
1 5
0 29
7 25
Line y_predict : 
label
6
Accuracy: -1
