Line 3 drop -1 27 1x1 : false
Line 4 drop -1 5 1x1 : false
Line 5 drop 1 32 1x1 : true
Line 6 drop 1 19 1x1 : false
Line 7 drop 1 33 1x1 : false
Line 8 drop 0 44 1x1 : true
Line 9 drop 0 64 1x1 : true
Line 10 drop 0 67 1x1 : true
Line 11 drop 0 14 1x1 : true
Line 12 drop 0 3 1x1 : true
Line 13 drop 1 45 1x1 : false
Line 14 drop 0 30 1x1 : true
Line 15 drop 0 33 1x1 : true
Line 16 drop 1 8 1x1 : false
Line 17 drop 1 19 1x1 : false
Line 18 drop 0 48 1x1 : true
Line 19 drop 0 30 1x1 : true
Line 20 getShape : 63 2
Line 21 columns : label 1x2
Line 22 printHead 100 100
label 1x2
6 89
3 63
3 4
6 6
1 6
2 25
5 67
7 45
9 51
1 90
6 46
5 31
6 54
0 8
1 2
3 62
5 30
3 74
5 17
9 7
5 9
6 66
3 59
4 12
2 96
8 7
2 46
9 30
2 1
4 6
8 6
5 30
0 74
6 85
4 28
0 49
2 80
5 67
0 28
5 8
1 47
1 93
5 75
9 45
8 75
8 73
4 46
1 80
5 67
5 51
3 82
6 20
5 78
1 50
2 91
8 63
5 57
9 64
5 38
5 4
4 30
9 18
4 31
Line y_predict : 
label
6
Accuracy: -1
