Line 3 drop 1 50 1x1 : true
Line 4 drop -1 2 1x1 : false
Line 5 drop -1 20 1x1 : false
Line 6 drop 0 51 1x1 : true
Line 7 drop 0 9 1x1 : true
Line 8 drop 0 7 1x1 : true
Line 9 drop 0 9 1x1 : true
Line 10 drop 0 37 1x1 : true
Line 11 drop 0 38 1x1 : true
Line 12 getShape : 50 2
Line 13 columns : label 1x2
Line 14 printHead 100 100
label 1x2
3 71
6 6
4 22
5 24
5 47
0 90
2 39
4 94
7 29
4 27
3 92
6 94
4 62
1 17
9 19
4 5
8 38
1 83
3 80
4 37
0 76
1 16
6 2
8 47
4 5
6 95
9 72
8 20
4 29
5 39
7 50
5 55
8 38
3 52
1 52
1 38
2 77
2 70
8 19
2 97
2 35
7 14
3 50
3 30
2 14
6 74
4 72
5 83
0 75
8 92
Line y_predict : 
label
3
Accuracy: -1
