Line 3 drop 0 47 1x1 : true
Line 4 drop 1 29 1x1 : true
Line 5 drop 0 48 1x1 : true
Line 6 drop 0 34 1x1 : true
Line 7 drop 0 39 1x1 : true
Line 8 drop -1 4 1x1 : false
Line 9 drop 1 24 1x1 : false
Line 10 drop 0 23 1x1 : true
Line 11 drop 1 24 1x1 : false
Line 12 drop 0 43 1x1 : true
Line 13 drop 0 12 1x1 : true
Line 14 drop -1 9 1x1 : false
Line 15 drop 0 5 1x1 : true
Line 16 getShape : 42 2
Line 17 columns : label 1x2
Line 18 printHead 100 100
label 1x2
3 90
5 30
7 4
4 83
9 34
0 18
5 72
7 26
1 63
1 61
1 27
5 32
6 77
8 81
3 7
6 54
8 57
4 36
7 20
6 48
1 65
6 83
7 21
6 27
2 19
5 39
9 7
7 46
3 75
9 16
3 23
9 33
6 23
5 92
6 10
0 7
9 68
8 44
9 1
0 79
2 21
4 75
Line y_predict : 
label
3
Accuracy: -1
