Line 3 drop 1 60 1x1 : true
Line 4 drop -2 83 1x1 : false
Line 5 drop 1 15 1x1 : false
Line 6 drop -1 40 1x1 : false
Line 7 drop 0 58 1x1 : true
Line 8 drop -2 30 1x1 : false
Line 9 drop 0 77 1x1 : true
Line 10 drop 0 51 1x1 : true
Line 11 drop 1 58 1x1 : false
Line 12 drop 1 90 1x1 : false
Line 13 drop 1 86 1x1 : false
Line 14 getShape : 86 2
Line 15 columns : label 1x2
Line 16 printHead 100 100
label 1x2
3 19
9 68
1 40
9 92
0 61
7 84
7 94
5 25
8 70
2 48
5 83
3 35
6 24
2 26
6 45
2 17
3 25
4 14
2 51
3 92
6 89
4 23
9 76
0 67
9 51
2 41
4 49
0 81
6 9
1 89
3 38
6 5
0 80
8 5
8 9
8 86
1 62
2 30
9 61
8 21
5 87
2 71
1 4
8 8
5 9
8 8
8 88
7 89
7 27
4 44
5 7
0 44
4 49
8 71
5 74
5 10
5 56
4 55
6 80
6 12
6 68
7 46
2 37
7 44
6 88
9 88
5 12
5 2
0 74
8 82
1 17
5 65
2 21
5 68
5 87
3 10
8 9
0 29
2 20
8 5
9 65
2 49
0 5
2 50
2 53
8 21
Line y_predict : 
label
3
Accuracy: -1
