Line 3 drop 1 71 1x1 : true
Line 4 drop 0 12 1x1 : true
Line 5 drop 1 60 1x1 : false
Line 6 drop 1 75 1x1 : false
Line 7 drop 0 35 1x1 : true
Line 8 drop 0 74 1x1 : true
Line 9 getShape : 78 2
Line 10 columns : label 1x2
Line 11 printHead 100 100
label 1x2
9 99
3 12
3 89
0 86
7 62
6 65
2 3
2 44
8 63
3 79
4 37
6 65
0 42
8 91
0 88
7 75
8 20
5 6
9 98
3 52
2 5
1 11
3 28
2 82
5 79
7 16
6 75
7 35
3 50
1 41
7 43
7 21
3 49
9 12
6 86
6 73
7 25
0 80
3 40
5 33
6 93
8 10
5 13
4 52
9 5
6 75
0 20
0 23
0 80
7 92
5 0
4 42
3 2
5 80
4 11
6 69
3 10
1 88
2 67
0 82
1 32
2 78
7 90
3 58
8 18
1 78
7 15
9 5
0 64
3 86
9 92
0 78
8 69
7 37
3 31
9 22
4 77
6 23
Line y_predict : 
label
9
Accuracy: -1
