Line 3 drop 1 96 1x1 : true
Line 4 drop 0 5 1x1 : true
Line 5 drop 1 11 1x1 : false
Line 6 drop 0 18 1x1 : true
Line 7 drop 0 32 1x1 : true
Line 8 drop -1 68 1x1 : false
Line 9 drop 1 15 1x1 : false
Line 10 drop -2 71 1x1 : false
Line 11 drop 0 27 1x1 : true
Line 12 drop 1 20 1x1 : false
Line 13 drop 0 33 1x1 : true
Line 14 drop 1 86 1x1 : false
Line 15 drop 0 62 1x1 : true
Line 16 getShape : 93 2
Line 17 columns : label 1x2
Line 18 printHead 100 100
label 1x2
4 43
5 40
9 23
2 63
0 22
1 27
4 20
8 7
0 9
9 14
1 14
2 78
2 91
0 72
3 80
7 50
7 30
1 34
7 56
7 88
8 67
9 15
3 3
9 17
5 53
3 4
6 58
1 92
3 64
4 92
3 64
4 10
7 91
8 87
6 88
4 62
6 9
9 43
4 89
4 71
7 72
5 36
1 13
1 51
4 59
3 27
9 94
8 15
0 25
7 84
9 55
1 57
6 76
1 65
0 28
2 85
1 99
6 2
4 59
5 0
0 6
1 24
6 8
2 10
9 44
9 44
1 52
8 20
7 31
3 4
7 60
5 4
1 24
7 17
7 40
7 12
6 83
6 71
3 91
2 45
6 13
5 7
4 6
7 70
6 13
0 58
1 75
2 93
2 20
6 48
0 43
9 45
9 78
Line y_predict : 
label
4
Accuracy: -1
