Line 3 drop 0 9 1x1 : true
Line 4 drop 0 18 1x1 : true
Line 5 drop 0 3 1x1 : true
Line 6 drop 1 6 1x1 : true
Line 7 drop 1 6 1x1 : false
Line 8 drop 1 25 1x1 : false
Line 9 drop 0 45 1x1 : false
Line 10 getShape : 41 2
Line 11 columns : label 1x2
Line 12 printHead 100 100
label 1x2
1 42
2 68
5 10
6 0
8 28
3 93
0 56
8 91
3 47
7 19
7 78
8 62
9 94
1 43
6 28
5 34
1 66
9 22
8 42
5 1
9 3
8 70
6 77
0 94
4 24
6 26
5 56
2 94
6 71
9 18
5 76
2 94
4 19
1 75
6 19
5 7
9 23
3 59
3 4
1 34
7 70
Line y_predict : 
label
1
Accuracy: -1
