Line 3 drop 0 30 1x1 : true
Line 4 drop 0 71 1x1 : false
Line 5 drop 0 35 1x1 : true
Line 6 drop 0 55 1x1 : true
Line 7 drop -2 26 1x1 : false
Line 8 drop 1 52 1x1 : true
Line 9 drop 0 44 1x1 : true
Line 10 drop 0 45 1x1 : true
Line 11 drop 0 41 1x1 : true
Line 12 getShape : 64 2
Line 13 columns : label 1x2
Line 14 printHead 100 100
label 1x2
5 96
2 95
6 56
1 2
6 11
8 66
4 67
9 28
4 50
7 0
2 90
3 40
4 32
6 60
5 70
5 79
3 60
6 47
9 39
7 87
0 29
7 32
3 55
0 70
9 31
5 17
1 45
8 7
7 26
0 42
2 75
0 46
1 57
1 34
0 0
2 68
2 66
3 16
1 73
8 77
7 20
9 14
5 43
9 31
5 61
2 36
5 11
5 40
0 14
5 12
1 18
7 89
2 58
2 83
6 10
2 53
9 3
8 45
0 84
6 50
5 97
2 89
2 41
8 72
Line y_predict : 
label
5
Accuracy: -1
