Line 3 drop 0 79 1x1 : true
Line 4 drop 0 31 1x1 : true
Line 5 drop 1 46 1x1 : true
Line 6 drop 0 100 1x1 : false
Line 7 drop 0 7 1x1 : true
Line 8 drop 1 49 1x1 : false
Line 9 drop 1 16 1x1 : false
Line 10 drop 0 11 1x1 : true
Line 11 drop -1 0 1x1 : false
Line 12 drop 0 14 1x1 : true
Line 13 drop -1 9 1x1 : false
Line 14 drop -1 49 1x1 : false
Line 15 drop 1 80 1x1 : false
Line 16 drop 0 20 1x1 : true
Line 17 drop -2 89 1x1 : false
Line 18 drop 1 15 1x1 : false
Line 19 getShape : 93 2
Line 20 columns : label 1x2
Line 21 printHead 100 100
label 1x2
1 39
9 44
6 71
0 96
8 36
1 12
4 3
3 77
9 5
9 5
3 58
8 21
1 34
2 47
5 72
8 58
6 75
8 28
7 43
4 59
8 46
6 8
5 34
0 54
4 66
6 90
7 57
5 51
6 54
2 21
4 8
8 55
3 54
1 75
0 15
2 85
0 63
3 76
6 68
0 77
0 2
4 24
8 16
7 70
3 18
8 70
1 28
5 71
8 80
6 35
6 81
5 99
0 68
9 9
1 22
4 94
3 0
9 82
1 0
6 0
8 67
5 19
8 75
0 71
4 41
7 49
6 16
2 94
8 48
7 29
3 37
3 99
4 40
8 1
5 66
3 0
8 41
9 69
0 22
7 5
8 21
1 27
1 52
9 39
6 12
1 15
9 38
3 53
3 68
8 48
2 28
1 71
6 81
Line y_predict : 
label
1
Accuracy: -1
