Line 3 drop 1 31 1x1 : true
Line 4 drop 0 1 1x1 : true
Line 5 drop -2 64 1x1 : false
Line 6 drop -2 15 1x1 : false
Line 7 drop 1 43 1x1 : false
Line 8 drop -1 63 1x1 : false
Line 9 drop 0 34 1x1 : true
Line 10 drop 1 43 1x1 : false
Line 11 drop 1 42 1x1 : false
Line 12 drop 1 62 1x1 : false
Line 13 getShape : 62 2
Line 14 columns : label 1x2
Line 15 printHead 100 100
label 1x2
8 90
2 67
9 90
6 67
8 46
3 46
4 64
2 52
8 24
9 51
9 91
7 9
1 5
6 1
7 89
8 8
6 57
4 7
5 40
7 7
9 51
8 42
6 38
0 31
0 69
9 78
8 58
0 24
4 43
4 86
8 94
5 71
7 27
9 81
5 6
9 32
8 98
1 84
3 59
9 83
3 20
2 71
4 57
4 78
5 43
9 22
1 31
0 3
8 61
2 8
3 83
0 8
8 82
3 39
8 85
4 8
0 18
6 74
9 10
1 11
2 9
7 19
Line y_predict : 
label
8
Accuracy: -1
