Line 3 drop 1 76 1x1 : true
Line 4 drop 1 24 1x1 : false
Line 5 drop 0 74 1x1 : true
Line 6 drop 0 72 1x1 : true
Line 7 drop 0 28 1x1 : true
Line 8 drop -1 64 1x1 : false
Line 9 drop 1 3 1x1 : false
Line 10 drop 0 76 1x1 : false
Line 11 drop 1 -1 1x1 : false
Line 12 drop 0 8 1x1 : true
Line 13 drop -2 11 1x1 : false
Line 14 drop 1 35 1x1 : false
Line 15 drop 0 50 1x1 : true
Line 16 drop 1 18 1x1 : false
Line 17 getShape : 71 2
Line 18 columns : label 1x2
Line 19 printHead 100 100
label 1x2
3 34
0 74
3 74
9 52
2 62
4 66
8 64
8 63
4 44
0 92
6 94
0 64
3 94
5 92
6 56
8 61
7 5
8 99
7 51
9 14
0 67
3 15
2 61
1 95
4 40
1 94
9 28
6 66
5 57
5 83
9 14
9 13
4 61
1 17
6 64
4 9
1 64
1 94
8 59
2 93
3 97
9 0
3 82
5 19
4 69
9 78
5 61
1 78
3 28
2 35
6 79
8 86
0 78
7 43
8 44
9 0
8 58
1 52
3 93
3 45
6 60
5 52
2 95
3 43
3 24
0 37
6 96
4 43
8 5
6 81
6 25
Line y_predict : 
label
3
Accuracy: -1
