Line 3 drop 0 46 1x1 : true
Line 4 drop -2 44 1x1 : false
Line 5 drop 1 42 1x1 : true
Line 6 drop 0 18 1x1 : true
Line 7 drop 1 30 1x1 : false
Line 8 drop 1 15 1x1 : false
Line 9 drop 0 51 1x1 : true
Line 10 drop -1 57 1x1 : false
Line 11 drop 1 35 1x1 : false
Line 12 drop 0 52 1x1 : true
Line 13 drop 1 49 1x1 : false
Line 14 drop 1 3 1x1 : false
Line 15 drop 0 7 1x1 : true
Line 16 drop -1 15 1x1 : false
Line 17 drop -2 27 1x1 : false
Line 18 drop 0 37 1x1 : true
Line 19 drop 0 9 1x1 : true
Line 20 drop 0 5 1x1 : true
Line 21 getShape : 56 2
Line 22 columns : label 1x2
Line 23 printHead 100 100
label 1x2
2 71
5 36
4 51
3 12
0 88
9 5
0 11
0 66
9 58
7 18
5 53
0 67
2 2
6 55
6 50
9 46
9 7
2 89
9 2
9 80
6 43
6 20
0 5
0 22
6 61
9 87
4 73
2 9
7 71
7 88
2 66
6 11
1 58
7 86
2 93
7 91
9 62
7 36
3 65
5 60
4 58
2 54
7 77
9 81
9 17
8 65
6 7
3 79
6 39
9 31
6 70
1 73
9 74
3 67
2 6
5 7
Line y_predict : 
label
2
Accuracy: -1
