Line 3 drop 1 31 1x1 : true
Line 4 drop 0 7 1x1 : true
Line 5 drop 1 10 1x1 : false
Line 6 drop 0 35 1x1 : true
Line 7 drop 0 38 1x1 : true
Line 8 drop 0 33 1x1 : true
Line 9 drop 1 8 1x1 : false
Line 10 getShape : 65 2
Line 11 columns : label 1x2
Line 12 printHead 100 100
label 1x2
2 3
8 65
4 76
7 21
6 34
8 82
8 6
6 12
3 80
0 78
0 16
5 49
0 33
9 91
4 12
8 80
9 78
9 3
9 22
1 13
7 77
5 77
8 22
0 31
7 69
6 23
3 36
1 18
5 29
7 4
2 60
6 76
8 25
5 54
5 18
9 97
5 49
9 2
1 64
2 1
4 11
4 78
9 69
3 9
6 49
1 76
1 45
8 80
1 63
9 12
2 11
3 66
6 3
7 13
5 10
8 87
8 99
1 43
6 76
6 41
1 41
1 14
6 27
8 34
5 37
Line y_predict : 
label
2
Accuracy: -1
