Line 3 drop 1 71 1x1 : true
Line 4 drop 1 15 1x1 : false
Line 5 drop 0 73 1x1 : true
Line 6 drop 0 7 1x1 : true
Line 7 drop 0 26 1x1 : true
Line 8 drop 1 43 1x1 : false
Line 9 drop 0 78 1x1 : true
Line 10 drop 0 8 1x1 : true
Line 11 drop 0 57 1x1 : true
Line 12 drop 1 31 1x1 : false
Line 13 drop 1 34 1x1 : false
Line 14 drop 0 6 1x1 : true
Line 15 drop 1 81 1x1 : false
Line 16 drop 1 87 1x1 : false
Line 17 getShape : 84 2
Line 18 columns : label 1x2
Line 19 printHead 100 100
label 1x2
3 27
2 94
7 86
8 23
7 86
1 79
4 45
3 11
7 47
1 93
1 72
7 96
5 22
7 56
9 74
9 53
9 8
5 59
7 76
2 21
3 96
8 63
4 24
5 27
2 89
5 70
9 61
5 11
9 41
7 78
4 51
3 47
9 4
4 4
5 98
3 14
2 13
2 88
5 6
3 45
5 66
7 21
1 91
8 52
9 15
1 2
7 41
2 16
6 89
0 87
3 92
1 49
5 21
0 90
1 46
1 42
5 84
1 96
5 63
3 82
4 15
2 62
1 19
6 58
4 92
9 1
5 99
1 52
7 62
8 13
9 46
5 85
8 60
8 22
4 27
6 41
4 54
0 42
6 14
9 68
8 87
3 79
8 92
2 12
Line y_predict : 
label
3
Accuracy: -1
