Line 3 drop 1 36 1x1 : true
Line 4 drop 1 71 1x1 : false
Line 5 drop 1 33 1x1 : false
Line 6 drop 1 58 1x1 : false
Line 7 drop -2 80 1x1 : false
Line 8 drop 0 65 1x1 : true
Line 9 drop 1 48 1x1 : false
Line 10 drop -1 38 1x1 : false
Line 11 drop 1 46 1x1 : false
Line 12 drop 1 32 1x1 : false
Line 13 drop 1 57 1x1 : false
Line 14 drop 1 51 1x1 : false
Line 15 drop -2 48 1x1 : false
Line 16 drop 0 43 1x1 : true
Line 17 drop 0 9 1x1 : true
Line 18 drop 0 42 1x1 : true
Line 19 drop -1 58 1x1 : false
Line 20 getShape : 79 2
Line 21 columns : label 1x2
Line 22 printHead 100 100
label 1x2
2 6
4 66
6 2
7 9
9 83
0 95
9 62
7 39
6 40
3 86
1 77
4 77
8 32
9 54
2 97
6 13
7 80
5 72
3 70
1 72
8 4
0 70
3 43
4 43
8 95
2 66
1 18
8 45
7 0
6 35
8 57
3 73
7 7
5 84
5 56
8 48
1 26
6 25
9 77
9 33
9 65
9 78
7 2
0 14
0 27
2 13
5 99
2 41
7 43
9 52
1 1
3 97
8 34
1 96
3 15
5 73
8 20
0 73
1 64
6 18
7 32
4 60
2 91
4 75
3 89
1 7
3 84
1 53
2 49
2 30
6 81
1 66
3 59
5 82
6 29
1 44
2 35
8 50
1 40
Line y_predict : 
label
2
Accuracy: -1
