Line 3 drop 0 68 1x1 : true
Line 4 drop 0 6 1x1 : true
Line 5 drop 1 32 1x1 : true
Line 6 drop -2 64 1x1 : false
Line 7 drop 1 90 1x1 : false
Line 8 drop 1 58 1x1 : false
Line 9 drop 1 6 1x1 : false
Line 10 drop 1 95 1x1 : false
Line 11 drop 0 46 1x1 : true
Line 12 drop 0 7 1x1 : true
Line 13 drop 0 12 1x1 : true
Line 14 drop 0 52 1x1 : true
Line 15 drop -1 96 1x1 : false
Line 16 drop 1 43 1x1 : false
Line 17 drop 0 3 1x1 : true
Line 18 drop 1 94 1x1 : false
Line 19 drop -2 53 1x1 : false
Line 20 drop 0 58 1x1 : true
Line 21 drop -1 90 1x1 : false
Line 22 drop 1 12 1x1 : false
Line 23 getShape : 90 2
Line 24 columns : label 1x2
Line 25 printHead 100 100
label 1x2
0 99
5 5
7 46
8 31
2 30
2 68
7 70
0 95
6 81
0 41
0 2
9 87
3 21
3 26
3 14
9 37
9 38
8 91
5 62
1 5
0 13
9 74
6 77
3 73
5 49
2 23
4 31
5 59
4 14
2 3
0 95
3 54
9 94
7 26
1 2
2 11
7 0
8 96
6 9
4 38
1 54
7 95
9 71
1 79
3 9
9 0
6 38
0 43
2 98
8 25
3 23
2 81
8 61
9 16
4 5
4 20
0 63
4 29
1 41
9 27
6 16
7 56
4 52
3 44
3 9
7 11
7 23
9 56
9 6
4 82
8 15
2 54
6 78
8 10
8 63
6 20
5 54
0 39
5 12
1 33
3 85
1 69
0 30
2 23
3 60
0 37
2 27
0 42
2 86
0 98
Line y_predict : 
label
0
Accuracy: -1
