Line 3 drop 1 44 1x1 : true
Line 4 drop 0 56 1x1 : true
Line 5 drop 0 31 1x1 : true
Line 6 drop 0 31 1x1 : true
Line 7 drop 0 73 1x1 : true
Line 8 drop -1 40 1x1 : false
Line 9 drop 0 1 1x1 : true
Line 10 drop 1 82 1x1 : false
Line 11 drop 1 49 1x1 : false
Line 12 drop 1 48 1x1 : false
Line 13 getShape : 77 2
Line 14 columns : label 1x2
Line 15 printHead 100 100
label 1x2
1 93
2 76
3 49
9 31
9 28
0 50
6 78
3 97
3 55
8 84
7 85
9 79
1 90
5 20
6 58
4 31
0 29
7 16
7 95
6 83
2 62
7 57
5 82
3 89
9 50
2 42
8 35
5 42
0 97
6 32
5 79
1 70
3 1
3 23
7 61
9 82
1 97
6 11
5 0
8 28
2 72
1 53
2 59
8 67
4 56
3 75
6 74
1 42
0 23
9 18
5 10
4 48
5 76
8 17
0 95
7 26
7 86
2 66
4 2
8 18
0 18
4 74
7 79
7 27
7 58
6 74
9 8
8 79
7 15
2 68
4 24
7 37
8 57
4 29
9 13
1 16
7 44
Line y_predict : 
label
1
Accuracy: -1
