Line 3 drop 0 7 1x1 : true
Line 4 drop 1 65 1x1 : true
Line 5 drop 0 30 1x1 : true
Line 6 drop 1 33 1x1 : false
Line 7 drop 0 56 1x1 : true
Line 8 drop -2 38 1x1 : false
Line 9 getShape : 77 2
Line 10 columns : label 1x2
Line 11 printHead 100 100
label 1x2
9 41
5 7
5 73
6 63
4 5
7 77
5 17
1 73
9 50
4 58
1 28
6 81
6 1
5 64
7 8
8 10
9 15
5 18
3 66
9 33
6 58
5 12
5 51
5 73
8 58
1 43
7 36
8 5
4 3
1 71
1 50
2 39
4 60
8 84
3 23
6 66
9 3
8 99
5 19
5 28
5 70
5 89
1 38
2 32
6 30
9 25
6 79
6 66
7 42
4 38
0 24
0 74
4 98
8 10
9 5
7 35
3 5
1 17
7 75
0 75
8 69
2 69
2 89
7 57
8 84
5 47
0 76
6 75
9 97
4 78
0 53
1 60
8 63
8 12
1 8
2 71
1 39
Line y_predict : 
label
9
Accuracy: -1
