Line 3 drop 0 56 1x1 : true
Line 4 drop 0 11 1x1 : true
Line 5 drop 0 50 1x1 : true
Line 6 drop 0 34 1x1 : true
Line 7 drop 1 11 1x1 : true
Line 8 drop 0 27 1x1 : true
Line 9 drop 1 38 1x1 : false
Line 10 drop 1 76 1x1 : false
Line 11 drop 1 14 1x1 : false
Line 12 drop 1 14 1x1 : false
Line 13 drop 0 92 1x1 : true
Line 14 drop -1 97 1x1 : false
Line 15 drop 1 7 1x1 : false
Line 16 drop 1 16 1x1 : false
Line 17 drop 1 44 1x1 : false
Line 18 drop -2 90 1x1 : false
Line 19 getShape : 93 2
Line 20 columns : label 1x2
Line 21 printHead 100 100
label 1x2
8 9
7 52
5 68
9 24
0 39
9 51
8 61
5 36
2 3
6 93
5 57
6 84
9 49
6 96
0 55
4 63
9 54
0 5
3 15
8 27
1 32
5 54
6 58
5 3
6 83
3 63
5 7
6 43
2 6
8 35
3 24
2 3
3 76
0 99
2 67
0 40
9 71
2 25
5 19
1 80
9 84
7 64
8 13
0 22
7 26
9 14
2 62
0 21
9 63
1 78
2 55
5 74
6 83
2 15
7 85
9 39
7 33
9 40
4 21
2 75
8 4
3 21
8 51
6 55
6 22
3 32
6 58
1 55
9 74
2 5
8 75
4 98
0 48
3 11
5 20
2 16
0 25
0 95
3 20
6 54
4 68
9 85
9 47
7 91
6 54
2 96
8 63
8 32
3 67
0 90
1 69
8 53
5 79
Line y_predict : 
label
8
Accuracy: -1
