Line 3 drop 0 8 1x1 : true
Line 4 drop 1 59 1x1 : true
Line 5 drop 1 62 1x1 : false
Line 6 drop 1 -1 1x1 : false
Line 7 drop 0 42 1x1 : true
Line 8 drop 1 18 1x1 : false
Line 9 drop 1 71 1x1 : false
Line 10 drop -1 17 1x1 : false
Line 11 drop 0 21 1x1 : true
Line 12 drop -1 60 1x1 : false
Line 13 drop 0 16 1x1 : true
Line 14 getShape : 90 2
Line 15 columns : label 1x2
Line 16 printHead 100 100
label 1x2
2 55
1 7
5 10
1 29
1 98
9 0
8 58
9 57
4 11
6 89
8 88
7 25
6 87
0 72
8 19
2 41
0 29
7 53
6 84
7 36
6 28
2 36
5 24
0 90
2 38
9 66
2 66
6 40
8 18
5 30
8 99
2 67
4 51
4 20
4 27
0 87
6 55
4 13
9 40
6 59
5 91
6 21
1 32
5 34
8 78
8 14
9 91
5 17
0 17
6 49
4 1
4 53
8 96
2 2
6 11
0 63
1 65
7 33
7 36
0 93
2 74
3 33
4 24
9 15
7 15
6 54
4 42
3 48
2 94
9 97
3 50
9 92
0 80
8 5
3 34
3 1
8 20
1 74
6 65
1 29
8 17
5 68
7 56
3 68
9 59
6 55
4 74
2 32
7 9
3 97
Line y_predict : 
label
2
Accuracy: -1
